Country Name,Question Number,Question,Response,Response Total %
Afghanistan,Q11G,Q11G How much do you trust traditional healers in this country?,Some,14
Afghanistan,Q11G,Q11G How much do you trust traditional healers in this country?,Not much,12
Afghanistan,Q11G,Q11G How much do you trust traditional healers in this country?,Not at all,70
Afghanistan,Q11G,Q11G How much do you trust traditional healers in this country?,Don't know/refused,1
Afghanistan,Q12,Q12 How much do you trust science?,A lot,18
Afghanistan,Q12,Q12 How much do you trust science?,Some,50
Afghanistan,Q12,Q12 How much do you trust science?,Not much,12
Afghanistan,Q12,Q12 How much do you trust science?,Not at all,7
Afghanistan,Q12,Q12 How much do you trust science?,Don't know/refused,14
Afghanistan,Q13,Q13 How much do you trust scientists to find out accurate information?,A lot,14
Afghanistan,Q13,Q13 How much do you trust scientists to find out accurate information?,Some,50
Afghanistan,Q13,Q13 How much do you trust scientists to find out accurate information?,Not much,12
Afghanistan,Q13,Q13 How much do you trust scientists to find out accurate information?,Not at all,7
Afghanistan,Q13,Q13 How much do you trust scientists to find out accurate information?,Don't know/refused,17
Afghanistan,Q14A,Q14A How much do you trust college & university scientists to do work that benefits the public?,A lot,16
Afghanistan,Q14A,Q14A How much do you trust college & university scientists to do work that benefits the public?,Some,37
Afghanistan,Q14A,Q14A How much do you trust college & university scientists to do work that benefits the public?,Not much,13
Afghanistan,Q14A,Q14A How much do you trust college & university scientists to do work that benefits the public?,Not at all,4
Afghanistan,Q14A,Q14A How much do you trust college & university scientists to do work that benefits the public?,Don't know/refused,30
Afghanistan,Q14B,Q14B How much do you trust college & universite scientists to be open & honest about who pays for their work?,A lot,11
Afghanistan,Q14B,Q14B How much do you trust college & universite scientists to be open & honest about who pays for their work?,Some,30
Afghanistan,Q14B,Q14B How much do you trust college & universite scientists to be open & honest about who pays for their work?,Not much,9
Afghanistan,Q14B,Q14B How much do you trust college & universite scientists to be open & honest about who pays for their work?,Not at all,5
Afghanistan,Q14B,Q14B How much do you trust college & universite scientists to be open & honest about who pays for their work?,Don't know/refused,44
Afghanistan,Q15A,Q15A How much do you trust corporate scientists to do work that benefits the public?,A lot,10
Afghanistan,Q15A,Q15A How much do you trust corporate scientists to do work that benefits the public?,Some,35
Afghanistan,Q15A,Q15A How much do you trust corporate scientists to do work that benefits the public?,Not much,17
Afghanistan,Q15A,Q15A How much do you trust corporate scientists to do work that benefits the public?,Not at all,13
Afghanistan,Q15A,Q15A How much do you trust corporate scientists to do work that benefits the public?,Don't know/refused,26
Afghanistan,Q15B,Q15A How much do you trust corporate scientists to be open & honest about who pays for their work?,A lot,8
Afghanistan,Q15B,Q15A How much do you trust corporate scientists to be open & honest about who pays for their work?,Some,28
Afghanistan,Q15B,Q15A How much do you trust corporate scientists to be open & honest about who pays for their work?,Not much,11
Afghanistan,Q15B,Q15A How much do you trust corporate scientists to be open & honest about who pays for their work?,Not at all,14
Afghanistan,Q15B,Q15A How much do you trust corporate scientists to be open & honest about who pays for their work?,Don't know/refused,39
Afghanistan,Q16,Q16 How much of the population does science benefit in this country?,A lot,17
Afghanistan,Q16,Q16 How much of the population does science benefit in this country?,Some,35
Afghanistan,Q16,Q16 How much of the population does science benefit in this country?,Not much,32
Afghanistan,Q16,Q16 How much of the population does science benefit in this country?,Don't know/refused,16
Afghanistan,Q17,Q17 Does the work that scientists do benefit people like you?,Yes,51
Afghanistan,Q17,Q17 Does the work that scientists do benefit people like you?,No,42
Afghanistan,Q17,Q17 Does the work that scientists do benefit people like you?,Don't know/refused,7
Afghanistan,Q18,Q18 Do you think science & technology will improve life for the next generation?,Yes,73
Afghanistan,Q18,Q18 Do you think science & technology will improve life for the next generation?,No,15
Afghanistan,Q18,Q18 Do you think science & technology will improve life for the next generation?,Don't know/refused,12
Afghanistan,Q19,Q19 Do you think science & technology will increase the number of jobs in your local area?,Yes,63
Afghanistan,Q19,Q19 Do you think science & technology will increase the number of jobs in your local area?,No,8
Afghanistan,Q19,Q19 Do you think science & technology will increase the number of jobs in your local area?,Neutral,14
Afghanistan,Q19,Q19 Do you think science & technology will increase the number of jobs in your local area?,Don't know/refused,15
Afghanistan,Q20,Q20 Which of the following people do you trust for medical/health advice?,Family/friends,26
Afghanistan,Q20,Q20 Which of the following people do you trust for medical/health advice?,Religious leader,7
Afghanistan,Q20,Q20 Which of the following people do you trust for medical/health advice?,Doctor/nurse,64
Afghanistan,Q20,Q20 Which of the following people do you trust for medical/health advice?,Famous person,3
Afghanistan,Q20,Q20 Which of the following people do you trust for medical/health advice?,Traditional healer,1
Afghanistan,Q21,Q21 How much do you trust medical & health advice from this country's government?,A lot,33
Afghanistan,Q21,Q21 How much do you trust medical & health advice from this country's government?,Some,52
Afghanistan,Q21,Q21 How much do you trust medical & health advice from this country's government?,Not much,12
Afghanistan,Q21,Q21 How much do you trust medical & health advice from this country's government?,Not at all,2
Afghanistan,Q21,Q21 How much do you trust medical & health advice from this country's government?,Don't know/refused,1
Afghanistan,Q22,Q22 How much do you trust medical & health advice from doctors/nurses?,A lot,32
Afghanistan,Q22,Q22 How much do you trust medical & health advice from doctors/nurses?,Some,40
Afghanistan,Q22,Q22 How much do you trust medical & health advice from doctors/nurses?,Not much,21
Afghanistan,Q22,Q22 How much do you trust medical & health advice from doctors/nurses?,Not at all,7
Afghanistan,Q22,Q22 How much do you trust medical & health advice from doctors/nurses?,Don't know/refused,0
Afghanistan,Q23,"Q23 Before today, had you ever heard of a vaccine?",Yes,99
Afghanistan,Q23,"Q23 Before today, had you ever heard of a vaccine?",No,1
Afghanistan,Q24,Q24 How much do you agree that vaccines are important for children to have?,A lot,85
Afghanistan,Q24,Q24 How much do you agree that vaccines are important for children to have?,Some,13
Afghanistan,Q24,Q24 How much do you agree that vaccines are important for children to have?,Neutral,0
Afghanistan,Q24,Q24 How much do you agree that vaccines are important for children to have?,Not much,2
Afghanistan,Q24,Q24 How much do you agree that vaccines are important for children to have?,Not at all,1
Afghanistan,Q25,Q25 How much do you agree that vaccines are safe?,A lot,72
Afghanistan,Q25,Q25 How much do you agree that vaccines are safe?,Some,22
Afghanistan,Q25,Q25 How much do you agree that vaccines are safe?,Neutral,1
Afghanistan,Q25,Q25 How much do you agree that vaccines are safe?,not much,4
Afghanistan,Q25,Q25 How much do you agree that vaccines are safe?,Not at all,1
Afghanistan,Q25,Q25 How much do you agree that vaccines are safe?,Don't know/refused,1
Afghanistan,Q26,Q26 How much do you agree that vaccines are effective?,A lot,78
Afghanistan,Q26,Q26 How much do you agree that vaccines are effective?,Some,18
Afghanistan,Q26,Q26 How much do you agree that vaccines are effective?,Neutral,2
Afghanistan,Q26,Q26 How much do you agree that vaccines are effective?,Not much,1
Afghanistan,Q26,Q26 How much do you agree that vaccines are effective?,Not at all,1
Afghanistan,Q26,Q26 How much do you agree that vaccines are effective?,Don't know/refused,0
Afghanistan,Q28,"Q28 If you have children, have your children received a vaccine?",Yes,95
Afghanistan,Q28,"Q28 If you have children, have your children received a vaccine?",No,3
Afghanistan,Q28,"Q28 If you have children, have your children received a vaccine?",Don't know/refused,1
Afghanistan,D1,D1 Do you have a religion,Yes,100
Afghanistan,Q29,Q29 Has science ever disagreed with the teachings of your religion?,Yes,4
Afghanistan,Q29,Q29 Has science ever disagreed with the teachings of your religion?,No,32
Afghanistan,Q29,Q29 Has science ever disagreed with the teachings of your religion?,Don't know/refused,64
Afghanistan,Q30,"Q30 When science disagrees with your religion, do you believe science?",No,96
Afghanistan,Q30,"Q30 When science disagrees with your religion, do you believe science?",It depends,4
Albania,Q1,Q1 How much do you know about science?,A lot,4
Albania,Q1,Q1 How much do you know about science?,Some,34
Albania,Q1,Q1 How much do you know about science?,Not much,39
Albania,Q1,Q1 How much do you know about science?,Not at all,23
Albania,Q1,Q1 How much do you know about science?,Don't know/refused,1
Albania,Q2,Q2 How much did you understand the meaning of 'science' & 'scientists'?,A lot,26
Albania,Q2,Q2 How much did you understand the meaning of 'science' & 'scientists'?,Some,31
Albania,Q2,Q2 How much did you understand the meaning of 'science' & 'scientists'?,Not much,30
Albania,Q2,Q2 How much did you understand the meaning of 'science' & 'scientists'?,Not at all,12
Albania,Q2,Q2 How much did you understand the meaning of 'science' & 'scientists'?,Don't know/refused,1
Albania,Q3,Q3 Do you think studying disease is a part of science?,Yes,91
Albania,Q3,Q3 Do you think studying disease is a part of science?,No,6
Albania,Q3,Q3 Do you think studying disease is a part of science?,Don't know/refused,4
Albania,Q5A,Q5A Did you learn about science at primary school?,Yes,49
Albania,Q5A,Q5A Did you learn about science at primary school?,No,46
Albania,Q5A,Q5A Did you learn about science at primary school?,N/A,1
Albania,Q5A,Q5A Did you learn about science at primary school?,Don't know/refused,4
Albania,Q5B,Q5B Did you learn about science at secondary school?,Yes,50
Albania,Q5B,Q5B Did you learn about science at secondary school?,No,15
Albania,Q5B,Q5B Did you learn about science at secondary school?,N/A,34
Albania,Q5B,Q5B Did you learn about science at secondary school?,Don't know/refused,0
Albania,Q5C,Q5C Did you learn about science at college/university?,Yes,18
Albania,Q5C,Q5C Did you learn about science at college/university?,No,28
Albania,Q5C,Q5C Did you learn about science at college/university?,N/A,54
Albania,Q5C,Q5C Did you learn about science at college/university?,Don't know/refused,0
Albania,Q6,Q6  Have you tried to get science information in the past 30 days?,Yes,33
Albania,Q6,Q6  Have you tried to get science information in the past 30 days?,No,66
Albania,Q6,Q6  Have you tried to get science information in the past 30 days?,Don't know/refused,0
Albania,Q7,Q7  Have you tried to get health information in the past 30 days?,Yes,59
Albania,Q7,Q7  Have you tried to get health information in the past 30 days?,No,41
Albania,Q7,Q7  Have you tried to get health information in the past 30 days?,Don't know/refused,0
Albania,Q8,Q8  Would you like to know more about science?,Yes,82
Albania,Q8,Q8  Would you like to know more about science?,No,17
Albania,Q8,Q8  Would you like to know more about science?,Don't know/refused,1
Albania,Q9,Q8  Would you like to know more about medicine/disease/health?,Yes,90
Albania,Q9,Q8  Would you like to know more about medicine/disease/health?,No,10
Albania,Q9,Q8  Would you like to know more about medicine/disease/health?,Don't know/refused,0
Albania,Q10A,Q10A Do you have confidence in non profit organisations?,Yes,50
Albania,Q10A,Q10A Do you have confidence in non profit organisations?,No,44
Albania,Q10A,Q10A Do you have confidence in non profit organisations?,Don't know/refused,6
Albania,Q10B,Q10B Do you have confidence in hospitals/health clinics?,Yes,60
Albania,Q10B,Q10B Do you have confidence in hospitals/health clinics?,No,38
Albania,Q10B,Q10B Do you have confidence in hospitals/health clinics?,Don't know/refused,2
Albania,Q11A,Q11A How much do you trust people in your neighbourhood?,A lot,32
Albania,Q11A,Q11A How much do you trust people in your neighbourhood?,Some,34
Albania,Q11A,Q11A How much do you trust people in your neighbourhood?,Not much,19
Albania,Q11A,Q11A How much do you trust people in your neighbourhood?,Not at all,15
Albania,Q11A,Q11A How much do you trust people in your neighbourhood?,Don't know/refused,1
Albania,Q11B,Q11B How much do you trust this country's national government?,A lot,15
Albania,Q11B,Q11B How much do you trust this country's national government?,Some,31
Albania,Q11B,Q11B How much do you trust this country's national government?,Not much,22
Albania,Q11B,Q11B How much do you trust this country's national government?,Not at all,30
Albania,Q11B,Q11B How much do you trust this country's national government?,Don't know/refused,1
Albania,Q11C,Q11C How much do you trust scientists in this country?,A lot,13
Albania,Q11C,Q11C How much do you trust scientists in this country?,Some,30
Albania,Q11C,Q11C How much do you trust scientists in this country?,Not much,27
Albania,Q11C,Q11C How much do you trust scientists in this country?,Not at all,22
Albania,Q11C,Q11C How much do you trust scientists in this country?,Don't know/refused,8
Albania,Q11D,Q11D How much do you trust journalists in this country?,A lot,19
Albania,Q11D,Q11D How much do you trust journalists in this country?,Some,35
Albania,Q11D,Q11D How much do you trust journalists in this country?,Not much,23
Albania,Q11D,Q11D How much do you trust journalists in this country?,Not at all,19
Albania,Q11D,Q11D How much do you trust journalists in this country?,Don't know/refused,3
Albania,Q11E,Q11E How much do you trust doctors & nurses in this country?,A lot,27
Albania,Q11E,Q11E How much do you trust doctors & nurses in this country?,Some,40
Albania,Q11E,Q11E How much do you trust doctors & nurses in this country?,Not much,21
Albania,Q11E,Q11E How much do you trust doctors & nurses in this country?,Not at all,11
Albania,Q11E,Q11E How much do you trust doctors & nurses in this country?,Don't know/refused,0
Albania,Q11F,Q11F How much do you trust NGO workers in this country?,A lot,14
Albania,Q11F,Q11F How much do you trust NGO workers in this country?,Some,34
Albania,Q11F,Q11F How much do you trust NGO workers in this country?,Not much,26
Albania,Q11F,Q11F How much do you trust NGO workers in this country?,Not at all,20
Albania,Q11F,Q11F How much do you trust NGO workers in this country?,Don't know/refused,5
Albania,Q11G,Q11G How much do you trust traditional healers in this country?,A lot,14
Albania,Q11G,Q11G How much do you trust traditional healers in this country?,Some,28
Albania,Q11G,Q11G How much do you trust traditional healers in this country?,Not much,23
Albania,Q11G,Q11G How much do you trust traditional healers in this country?,Not at all,32
Albania,Q11G,Q11G How much do you trust traditional healers in this country?,Don't know/refused,3
Albania,Q12,Q12 How much do you trust science?,A lot,28
Albania,Q12,Q12 How much do you trust science?,Some,39
Albania,Q12,Q12 How much do you trust science?,Not much,20
Albania,Q12,Q12 How much do you trust science?,Not at all,8
Albania,Q12,Q12 How much do you trust science?,Don't know/refused,4
Albania,Q13,Q13 How much do you trust scientists to find out accurate information?,A lot,34
Albania,Q13,Q13 How much do you trust scientists to find out accurate information?,Some,39
Albania,Q13,Q13 How much do you trust scientists to find out accurate information?,Not much,18
Albania,Q13,Q13 How much do you trust scientists to find out accurate information?,Not at all,7
Albania,Q13,Q13 How much do you trust scientists to find out accurate information?,Don't know/refused,3
Albania,Q14A,Q14A How much do you trust college & university scientists to do work that benefits the public?,A lot,20
Albania,Q14A,Q14A How much do you trust college & university scientists to do work that benefits the public?,Some,36
Albania,Q14A,Q14A How much do you trust college & university scientists to do work that benefits the public?,Not much,22
Albania,Q14A,Q14A How much do you trust college & university scientists to do work that benefits the public?,Not at all,14
Albania,Q14A,Q14A How much do you trust college & university scientists to do work that benefits the public?,Don't know/refused,8
Albania,Q14B,Q14B How much do you trust college & universite scientists to be open & honest about who pays for their work?,A lot,13
Albania,Q14B,Q14B How much do you trust college & universite scientists to be open & honest about who pays for their work?,Some,37
Albania,Q14B,Q14B How much do you trust college & universite scientists to be open & honest about who pays for their work?,Not much,24
Albania,Q14B,Q14B How much do you trust college & universite scientists to be open & honest about who pays for their work?,Not at all,15
Albania,Q14B,Q14B How much do you trust college & universite scientists to be open & honest about who pays for their work?,Don't know/refused,11
Albania,Q15A,Q15A How much do you trust corporate scientists to do work that benefits the public?,A lot,16
Albania,Q15A,Q15A How much do you trust corporate scientists to do work that benefits the public?,Some,35
Albania,Q15A,Q15A How much do you trust corporate scientists to do work that benefits the public?,Not much,24
Albania,Q15A,Q15A How much do you trust corporate scientists to do work that benefits the public?,Not at all,20
Albania,Q15A,Q15A How much do you trust corporate scientists to do work that benefits the public?,Don't know/refused,6
Albania,Q15B,Q15A How much do you trust corporate scientists to be open & honest about who pays for their work?,A lot,10
Albania,Q15B,Q15A How much do you trust corporate scientists to be open & honest about who pays for their work?,Some,33
Albania,Q15B,Q15A How much do you trust corporate scientists to be open & honest about who pays for their work?,Not much,26
Albania,Q15B,Q15A How much do you trust corporate scientists to be open & honest about who pays for their work?,Not at all,24
Albania,Q15B,Q15A How much do you trust corporate scientists to be open & honest about who pays for their work?,Don't know/refused,7
Albania,Q16,Q16 How much of the population does science benefit in this country?,A lot,21
Albania,Q16,Q16 How much of the population does science benefit in this country?,Some,29
Albania,Q16,Q16 How much of the population does science benefit in this country?,Not much,45
Albania,Q16,Q16 How much of the population does science benefit in this country?,Don't know/refused,4
Albania,Q17,Q17 Does the work that scientists do benefit people like you?,Yes,40
Albania,Q17,Q17 Does the work that scientists do benefit people like you?,No,54
Albania,Q17,Q17 Does the work that scientists do benefit people like you?,Don't know/refused,6
Albania,Q18,Q18 Do you think science & technology will improve life for the next generation?,Yes,78
Albania,Q18,Q18 Do you think science & technology will improve life for the next generation?,No,16
Albania,Q18,Q18 Do you think science & technology will improve life for the next generation?,Don't know/refused,5
Albania,Q19,Q19 Do you think science & technology will increase the number of jobs in your local area?,Yes,48
Albania,Q19,Q19 Do you think science & technology will increase the number of jobs in your local area?,No,40
Albania,Q19,Q19 Do you think science & technology will increase the number of jobs in your local area?,Neutral,6
Albania,Q19,Q19 Do you think science & technology will increase the number of jobs in your local area?,Don't know/refused,6
Albania,Q20,Q20 Which of the following people do you trust for medical/health advice?,Family/friends,16
Albania,Q20,Q20 Which of the following people do you trust for medical/health advice?,Religious leader,3
Albania,Q20,Q20 Which of the following people do you trust for medical/health advice?,Doctor/nurse,69
Albania,Q20,Q20 Which of the following people do you trust for medical/health advice?,Famous person,1
Albania,Q20,Q20 Which of the following people do you trust for medical/health advice?,Traditional healer,7
Albania,Q20,Q20 Which of the following people do you trust for medical/health advice?,N/A,3
Albania,Q20,Q20 Which of the following people do you trust for medical/health advice?,Don't know/refused,0
Albania,Q21,Q21 How much do you trust medical & health advice from this country's government?,A lot,18
Albania,Q21,Q21 How much do you trust medical & health advice from this country's government?,Some,41
Albania,Q21,Q21 How much do you trust medical & health advice from this country's government?,Not much,21
Albania,Q21,Q21 How much do you trust medical & health advice from this country's government?,Not at all,18
Albania,Q21,Q21 How much do you trust medical & health advice from this country's government?,Don't know/refused,1
Albania,Q22,Q22 How much do you trust medical & health advice from doctors/nurses?,A lot,28
Albania,Q22,Q22 How much do you trust medical & health advice from doctors/nurses?,Some,42
Albania,Q22,Q22 How much do you trust medical & health advice from doctors/nurses?,Not much,20
Albania,Q22,Q22 How much do you trust medical & health advice from doctors/nurses?,Not at all,9
Albania,Q22,Q22 How much do you trust medical & health advice from doctors/nurses?,Don't know/refused,1
Albania,Q23,"Q23 Before today, had you ever heard of a vaccine?",Yes,85
Albania,Q23,"Q23 Before today, had you ever heard of a vaccine?",No,15
Albania,Q23,"Q23 Before today, had you ever heard of a vaccine?",Don't know/refused,1
Albania,Q24,Q24 How much do you agree that vaccines are important for children to have?,A lot,89
Albania,Q24,Q24 How much do you agree that vaccines are important for children to have?,Some,7
Albania,Q24,Q24 How much do you agree that vaccines are important for children to have?,Neutral,1
Albania,Q24,Q24 How much do you agree that vaccines are important for children to have?,Not much,1
Albania,Q24,Q24 How much do you agree that vaccines are important for children to have?,Not at all,0
Albania,Q24,Q24 How much do you agree that vaccines are important for children to have?,Don't know/refused,1
Albania,Q25,Q25 How much do you agree that vaccines are safe?,A lot,49
Albania,Q25,Q25 How much do you agree that vaccines are safe?,Some,14
Albania,Q25,Q25 How much do you agree that vaccines are safe?,Neutral,15
Albania,Q25,Q25 How much do you agree that vaccines are safe?,not much,11
Albania,Q25,Q25 How much do you agree that vaccines are safe?,Not at all,5
Albania,Q25,Q25 How much do you agree that vaccines are safe?,Don't know/refused,5
Albania,Q26,Q26 How much do you agree that vaccines are effective?,A lot,52
Albania,Q26,Q26 How much do you agree that vaccines are effective?,Some,22
Albania,Q26,Q26 How much do you agree that vaccines are effective?,Neutral,14
Albania,Q26,Q26 How much do you agree that vaccines are effective?,Not much,7
Albania,Q26,Q26 How much do you agree that vaccines are effective?,Not at all,2
Albania,Q26,Q26 How much do you agree that vaccines are effective?,Don't know/refused,4
Albania,Q28,"Q28 If you have children, have your children received a vaccine?",Yes,95
Albania,Q28,"Q28 If you have children, have your children received a vaccine?",No,4
Albania,Q28,"Q28 If you have children, have your children received a vaccine?",Don't know/refused,0
Albania,D1,D1 Do you have a religion,Yes,96
Albania,D1,D1 Do you have a religion,No,1
Albania,D1,D1 Do you have a religion,Don't know/refused,3
Albania,Q29,Q29 Has science ever disagreed with the teachings of your religion?,Yes,30
Albania,Q29,Q29 Has science ever disagreed with the teachings of your religion?,No,48
Albania,Q29,Q29 Has science ever disagreed with the teachings of your religion?,Don't know/refused,22
Albania,Q30,"Q30 When science disagrees with your religion, do you believe science?",Yes,44
Albania,Q30,"Q30 When science disagrees with your religion, do you believe science?",No,46
Albania,Q30,"Q30 When science disagrees with your religion, do you believe science?",It depends,6
Albania,Q30,"Q30 When science disagrees with your religion, do you believe science?",Don't know/refused,4
Algeria,Q1,Q1 How much do you know about science?,A lot,4
Algeria,Q1,Q1 How much do you know about science?,Some,44
Algeria,Q1,Q1 How much do you know about science?,Not much,33
Algeria,Q1,Q1 How much do you know about science?,Not at all,16
Algeria,Q1,Q1 How much do you know about science?,Don't know/refused,2
Algeria,Q2,Q2 How much did you understand the meaning of 'science' & 'scientists'?,A lot,24
Algeria,Q2,Q2 How much did you understand the meaning of 'science' & 'scientists'?,Some,38
Algeria,Q2,Q2 How much did you understand the meaning of 'science' & 'scientists'?,Not much,23
Algeria,Q2,Q2 How much did you understand the meaning of 'science' & 'scientists'?,Not at all,13
Algeria,Q2,Q2 How much did you understand the meaning of 'science' & 'scientists'?,Don't know/refused,3
Algeria,Q3,Q3 Do you think studying disease is a part of science?,Yes,82
Algeria,Q3,Q3 Do you think studying disease is a part of science?,No,7
Algeria,Q3,Q3 Do you think studying disease is a part of science?,Don't know/refused,11
Algeria,Q5A,Q5A Did you learn about science at primary school?,Yes,72
Algeria,Q5A,Q5A Did you learn about science at primary school?,No,18
Algeria,Q5A,Q5A Did you learn about science at primary school?,N/A,8
Algeria,Q5A,Q5A Did you learn about science at primary school?,Don't know/refused,2
Algeria,Q5B,Q5B Did you learn about science at secondary school?,Yes,42
Algeria,Q5B,Q5B Did you learn about science at secondary school?,No,17
Algeria,Q5B,Q5B Did you learn about science at secondary school?,N/A,41
Algeria,Q5B,Q5B Did you learn about science at secondary school?,Don't know/refused,1
Algeria,Q5C,Q5C Did you learn about science at college/university?,Yes,15
Algeria,Q5C,Q5C Did you learn about science at college/university?,No,44
Algeria,Q5C,Q5C Did you learn about science at college/university?,N/A,40
Algeria,Q5C,Q5C Did you learn about science at college/university?,Don't know/refused,1
Algeria,Q6,Q6  Have you tried to get science information in the past 30 days?,Yes,27
Algeria,Q6,Q6  Have you tried to get science information in the past 30 days?,No,69
Algeria,Q6,Q6  Have you tried to get science information in the past 30 days?,Don't know/refused,4
Algeria,Q7,Q7  Have you tried to get health information in the past 30 days?,Yes,34
Algeria,Q7,Q7  Have you tried to get health information in the past 30 days?,No,63
Algeria,Q7,Q7  Have you tried to get health information in the past 30 days?,Don't know/refused,2
Algeria,Q8,Q8  Would you like to know more about science?,Yes,56
Algeria,Q8,Q8  Would you like to know more about science?,No,40
Algeria,Q8,Q8  Would you like to know more about science?,Don't know/refused,4
Algeria,Q9,Q8  Would you like to know more about medicine/disease/health?,Yes,61
Algeria,Q9,Q8  Would you like to know more about medicine/disease/health?,No,36
Algeria,Q9,Q8  Would you like to know more about medicine/disease/health?,Don't know/refused,3
